"Data Source","World Development Indicators",

"Last Updated Date","2019-07-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Antigua and Barbuda","ATG","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17472.9464831615","17616.9266770048","17515.8219531784","18074.531028253","18871.8073199694","17663.7713661403","18427.1118463966","19020.3077276974","19506.70985753","19837.1773450396","20790.9859994328","19454.8909142612","19382.2667984897","20295.9071373366","21183.4268568734","22229.3937758948","24683.4535323922","26544.688973682","26110.658805583","22592.4133301401","20660.4182793806","19953.1927712162","20388.7986581031","20121.2501409281","20820.551057436","21426.3249312141","22393.9961461543","22855.748016777","23768.4784336352",
"Australia","AUS","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28669.4954783618","28194.2929869928","27969.3719123455","28813.1035134056","29644.6393317539","30411.701168612","31178.9368740762","32055.0211775378","33174.4998403259","34461.6780911452","35392.589527158","35592.787014827","36567.9378467547","37197.9761613101","38260.3873683081","38968.6137033081","39470.9995540558","40733.135880066","41385.3926060226","41326.3947124107","41529.7844367051","41965.3584189919","42847.7721932252","43218.2609881052","43672.1303729673","44053.7311774575","44605.6496773446","44888.0199908538","45439.3071629835",
"Austria","AUT","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31341.9023811581","32098.4915397552","32411.8024585346","32314.9708748054","32964.1016119637","33791.8014680143","34539.0855902146","35222.2593769414","36443.7092612023","37666.411617272","38844.404713666","39186.3370023663","39638.0268737228","39816.7741226218","40652.8107017009","41282.8799941074","42498.0073262324","43939.4252883758","44441.7885303671","42656.8541604126","43336.1978527647","44452.7327457999","44551.6175741173","44301.104028751","44246.8932651257","44253.7542473183","44670.654569154","45493.0453463098","46473.2571552366",
"Azerbaijan","AZE","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8789.71453035858","8593.74052863543","6551.53852457172","4962.17464309536","3931.12724098744","3427.55108529804","3437.22267606738","3601.66912676867","3924.41064257799","4177.98970781258","4603.76986629071","5020.4949277868","5453.5302441996","5964.8783790501","6460.05502508542","8182.31181443141","10882.2346703891","13499.2683468612","14618.8154247387","15660.0023600548","16215.8471997646","15754.1523626148","15888.6748721826","16600.8799688925","16853.5684691467","16828.9901596414","16131.9721279442","15929.3996305909","16010.989036316",
"Burundi","BDI","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1027.39665998435","1054.31550934577","1042.36716865702","958.362409348118","905.890282550731","821.872598059189","747.006062825455","727.681594145987","754.429747911998","737.090825634833","717.973021535117","716.263594456508","728.185979798559","697.929245628168","708.83372030714","692.569818912491","706.746700906096","707.48869579253","717.792711796647","721.063140329375","733.727722815265","739.219254973908","748.075520582737","760.699069642062","768.469836927654","715.54988614254","689.014891669999","670.777072479443","660.265637135776",
"Belgium","BEL","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30647.8257622521","31093.8655612227","31441.9818125753","31018.1440636557","31920.5607358943","32613.4125258345","33068.3971189009","34212.4817296127","34813.8552388618","35971.8519385873","37188.6394500032","37361.7179057106","37856.860173232","37990.6481933893","39201.5251968517","39802.9675336697","40532.2682610931","41623.4378839282","41619.3300965694","40355.5647103738","41085.9175030485","41284.1510136804","41125.241157877","41013.9921057712","41344.6362757704","41820.8268335992","42214.0246055038","42781.0578154979","43217.9522397785",
"Benin","BEN","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1462.67742107927","1473.86252559355","1465.57057864765","1497.74263989156","1476.5393429105","1515.06774041106","1531.64280725026","1571.16906095909","1585.78506587644","1621.90086797704","1666.46746353098","1703.01513026645","1728.69687889668","1734.69529970284","1757.90297863214","1735.97415014991","1752.95752640256","1805.6221411138","1841.18738797947","1831.88141769026","1818.77846075906","1820.8893040888","1855.93633148333","1934.62261495887","2001.05200039071","1987.14191963108","2009.66101931751","2069.28528048612","2151.54316951218",
"Burkina Faso","BFA","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","844.342167576777","896.598477820563","874.806444566451","880.89149248784","868.463532306393","893.240680831447","964.586920602274","997.364751381498","1040.667437642","1086.61619839277","1075.39533703334","1114.20225286606","1129.74053824911","1183.09487974235","1200.41706167989","1266.36153727954","1305.92497128283","1338.83837475586","1393.69708816373","1392.20028555341","1423.37770598198","1472.71584137964","1521.45154039989","1562.29994921861","1582.33009760085","1596.33458051647","1642.4750341006","1696.23413774975","1755.59290827482",
"Bangladesh","BGD","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1325.59207064118","1340.2616595861","1382.0003726273","1416.07470469475","1440.01225246912","1481.79055101761","1516.16258120593","1551.13570721207","1597.89747759363","1639.03069871163","1692.42211846311","1745.12084442569","1779.33188760776","1831.67722085559","1896.76331082398","1990.95359726971","2095.36978287104","2215.92522146022","2322.42636234319","2412.50170153957","2518.43417760304","2650.72993332452","2791.17209838009","2924.99209929067","3067.03288410178","3231.69523717156","3424.01066014401","3634.31695409681","3879.16152410685",
"Bulgaria","BGR","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9296.94505498601","8596.50680975415","8057.39718976538","8001.70337004488","8174.88893904127","8446.24203072366","8549.74112930788","8508.29071186099","9109.06296843949","8390.06786411958","8833.43977161349","9350.77885978475","10123.3627330715","10730.0035137381","11507.0455512993","12419.9191988778","13374.9073773038","14463.1721354461","15442.1398644812","14984.5948559347","15283.2797191136","15676.1384768142","15772.084454076","15938.9388427047","16324.3428333823","16999.1119766229","17792.6839803308","18606.2200267256","19320.7575705485",
"Bahrain","BHR","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35113.3329386605","37997.0157678585","39506.2543106561","43499.3325600785","42334.7607604188","42896.8664431987","43504.6619595279","43624.0860994201","44315.6036741833","44562.6198297107","44942.5718887191","43887.3228579182","43147.6137627419","43187.6655661525","43355.5146330748","43202.0010332985","42672.9025339293","42754.2705604807","42216.2168127031","40715.5655681997","40570.6010838268","40168.2907691653","40968.9667404492","42692.5994262462","43847.909052323","43926.6021157475","43731.7655947883","43320.4403591545","41973.301995935",
"Bahamas, The","BHS","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31005.636485491","29164.3983210033","27519.3026804507","27090.7660552441","27459.9103809806","28218.5422989711","29017.4330110787","29267.4906697163","30306.2847016489","32088.7824995024","32972.9406359751","33328.0245285838","33668.4424988705","32662.026721545","32354.6996224201","32838.9943043302","33037.6167730227","32884.1288424016","31531.871633751","29703.4249165462","29706.9085147558","29503.7080684624","30079.2030572058","29663.3453617057","29342.5386195132","29366.0597007094","28585.3551325056","28705.2784998865","",
"Bosnia and Herzegovina","BIH","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1475.9493429363","1832.99067015142","3523.03660866038","4770.52723413652","5517.28853881313","6032.38232399139","6350.89274352131","6622.67681312619","6966.490560617","7239.78494032317","7677.28525926982","8347.23704388932","8799.21205377073","9320.98753467172","9849.10007459007","9600.23621352998","9763.58530890592","9976.47713251324","10048.7567962269","10466.0723969374","10770.1608850858","11273.5262651636","11776.1339870263","12274.6052055602","12755.9998666974",
"Belarus","BLR","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8366.63218540654","8262.17850987819","7452.92486020855","6871.03319279074","6074.24098779921","5460.13841164859","5631.80627795077","6300.49799152434","6862.29737993061","7125.52295663578","7574.4049979219","7973.1135065485","8428.86324527166","9085.88621617333","10195.5108209511","11230.3314313225","12429.2352111868","13560.2284948669","14995.0776294825","15058.6044544366","16260.5926799472","17166.6956434719","17472.3249308517","17644.8544069875","17933.3427177555","17219.1206477761","16763.0361063249","17193.4241428478","17741.8622306394",
"Belize","BLZ","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5115.84347903983","5595.63527158851","6167.30946927722","6444.96901681164","6325.2910009307","6203.53946964287","6094.80294100482","6085.38722039776","6075.46334345497","6367.02700651484","6953.70092605265","7080.64397207706","7235.65216804674","7703.6832393595","7855.36166996352","7850.7197955052","7998.22161434708","7878.52293543016","7926.20870869142","7780.76510810542","7849.22569954496","7830.22586722299","7875.13949348159","7764.99116446074","7877.36983596804","7976.89948044313","7769.26253219143","7726.38069703329","7810.23806031465",
"Bermuda","BMU","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40553.2585214927","39322.1091825364","39584.3298590314","40557.2201557525","40518.4078179105","41999.2594636705","42816.9632444088","44514.1094159639","45911.6864997413","47199.8414462497","51140.236844667","54245.1496398132","53096.9254922092","54549.8011627024","55452.6388804958","56017.19161965","58784.5932914465","60117.4599095649","60675.9820859495","57151.9191321066","56395.0078003539","54984.5103947777","52137.3003731125","50669.3147696996","","","","","",
"Bolivia","BOL","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3702.60174413553","3816.10061656015","3797.96919783072","3877.84125384053","3975.14961189305","4076.20422429133","4168.16708342386","4287.48107130384","4414.51527041023","4347.28987161212","4370.97939244791","4360.67669966251","4385.95864096695","4422.42126647315","4524.06981166348","4640.55616316529","4778.7213936392","4911.63309805467","5126.19962688807","5210.74222054361","5337.32562765861","5524.71779777384","5715.52484798514","6008.59258421997","6239.5482959879","6444.37511535808","6620.43801753902","6798.9293493876","6986.04648747244",
"Brazil","BRA","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10341.6588029645","10314.9295241109","10092.9675038401","10389.4047378607","10766.2892171718","11062.294897467","11128.276658177","11327.5407816869","11193.3811754373","11080.4243305743","11403.0670561878","11404.5916164246","11599.5501892547","11585.2901091511","12106.2895350968","12351.6001763102","12701.7376680735","13333.6116055629","13874.210830321","13724.0996531641","14619.5110785703","15061.9566296437","15214.7654836184","15535.6279086956","15480.8680489801","14807.2205545288","14200.3166718022","14236.0177474186","14282.7218225755",
"Barbados","BRB","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14122.9048438298","13520.054993925","12528.7876458535","12634.3858363395","13062.1220131551","13273.1884767781","13743.1076362884","14333.4708323268","14806.1738450206","14793.1817343137","15391.3786328451","14971.1563938279","15040.0936375434","15314.4862253504","15476.0708387794","16030.7715675938","16869.0407233028","17091.3273184884","17036.2202107418","16291.991456797","16275.7751679577","16333.1991160155","16337.9561957994","16305.1797115706","16277.8399661037","16396.2920104355","16697.7707625128","16839.0005826426","",
"Brunei Darussalam","BRN","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84693.3369699","84900.1982264864","86445.6867488517","84311.3134736275","84627.927816406","86138.6253791603","86433.8070082535","83159.5438876726","80833.0879924194","81495.8832320835","82068.2976162848","82616.9375328356","84146.0606385298","84993.8245553396","83963.2380663136","82977.1111560941","85421.5590866792","84480.7770109541","81869.1760781014","79485.0015805958","80556.1807175419","82502.9352973488","82149.9097964176","79323.4374535226","76448.5933286697","75073.9365712816","72369.5233674193","72523.8359973272","71802.4553497997",
"Bhutan","BTN","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2353.61067282651","2327.22758700026","2434.82909059375","2492.14559553689","2618.98153084019","2789.9683577239","2908.00235053499","3007.37700400792","3113.73847498456","3283.76691116821","3433.36262512061","3637.3658515748","3946.64827425735","4169.12959304662","4339.10149981028","4577.05202489526","4826.04646816956","5627.24820980141","5836.4363825016","6163.40323693651","6814.29428112798","7269.3431327835","7547.82563772115","7615.58868611012","7954.38085508368","8380.1235184464","8943.84913870065","9246.67676323712","9347.82645392757",
"Botswana","BWA","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8501.71963851476","8863.30362299941","8872.77918365457","8812.98398918062","8910.14120951756","9308.62558722708","9618.5186740288","10177.9071192057","9993.41390723876","10725.1016961059","10718.1650867188","10543.9135138449","10987.2906566145","11298.3290602155","11399.4443149231","11696.6015068047","12420.620242718","13165.0311327062","13693.8662994369","12400.8889375325","13235.1642703252","13838.6028216807","14284.1185822187","15727.187060045","16175.2394459843","15659.8968068401","16037.2144759899","16165.338387878","16518.2357509876",
"Central African Republic","CAF","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","982.659793044258","952.863151812915","867.326541452101","845.404867312177","861.690970766153","898.611941814853","840.351265213967","862.925676755766","881.893281682179","892.450885743177","850.533326019012","869.030294623137","881.486665983125","816.923266561819","848.689032412417","839.74837832113","862.788594560257","885.355141199043","887.608557889138","949.551325173903","982.393325512052","1016.21855192248","1063.29748519137","678.349904405979","676.675821423025","702.985324358434","730.936872556432","753.824879166369","774.687736580029",
"Canada","CAN","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31385.6949630727","30351.5031173134","30264.4661967777","30730.1771765521","31761.6172939303","32280.8781050966","32462.3560996325","33516.8600242769","34530.023764774","36018.6570179797","37534.1731329893","37786.2783231598","38502.6622759679","38844.6789597886","39671.6257221427","40556.7342327706","41202.3731542988","41645.7291368141","41609.5858776178","39923.8852838358","40699.527121336","41569.449617197","41841.7319423552","42362.4400423062","43137.7137610006","43105.6755729084","43089.3466575911","43852.4248877842","44051.0489328485",
"Central Europe and the Baltics","CEB","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12298.0799496347","11124.1991634327","10902.3884710956","11085.729427584","11538.6073475995","12179.748521206","12728.0991600905","13106.302781678","13491.3879070482","13756.073651902","14388.496455897","14937.1158011942","15581.289682588","16256.7897426353","17281.8703310809","18187.4465481703","19437.4497112595","20772.0077730335","21712.0476623969","21023.7157751748","21387.888349731","22133.6824744317","22374.6845171725","22753.1189731339","23502.7109914338","24455.140913358","25306.8281378443","26590.6511164143","27802.5111161469",
"Switzerland","CHE","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48181.7557750506","47147.5392941208","46610.189795911","46129.4418063966","46344.2603525896","46256.9705907555","46301.8330422132","47271.3555292296","48540.2729292941","49128.0335737854","50775.9763390062","51117.8874407516","50815.1531556825","50459.5029062084","51505.0923669791","52770.4689302242","54531.9936996731","56269.1565026942","56755.8381307405","54805.5792896896","55866.3050707537","56183.8325850081","56149.6708620093","56535.7400477582","57218.0279263612","57324.6790708698","57610.0084565372","57997.6434860466","59019.2099791418",
"Channel Islands","CHI","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8969.83801155226","9511.78575513602","10400.8686874939","10907.191688359","11276.8038281085","12100.9450991843","12741.2032615414","13503.5303288374","13907.3711941791","13681.0148840918","14241.1549463274","14546.7971096787","14837.8229037926","15283.8226889144","16216.5698367064","16970.1053283608","17852.6273985903","18529.3025668337","18978.8599816493","18485.1350173976","19363.220303036","20342.5709204911","21219.1765472762","21862.4413780466","22013.851112076","22257.3120536501","22331.2260762268","22296.8370043166","22873.8070144633",
"China","CHN","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1521.96386809244","1640.87426268856","1851.31549216807","2083.95231520274","2329.47458877236","2556.60486044341","2781.13062601201","3006.91805412445","3211.62321142972","3428.06317190652","3689.96725498637","3968.77386252586","4302.22687143634","4704.58679981933","5149.60190060825","5702.8005787526","6392.37388763392","7264.06003553351","7924.64436460666","8626.53247901403","9498.07974429813","10355.4957126354","11115.1106750721","11919.6071041718","12725.0890985402","13534.8462367331","14368.6308012738","15253.993071388","16186.7926058925",
"Cote d'Ivoire","CIV","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3285.58894116357","3170.60250296744","3051.75890786472","2940.49180163041","2864.25132148967","2968.0161908719","3095.96078588561","3113.03812313171","3170.40754537518","3132.63849844422","2989.1467200384","2922.03395188208","2810.18903124562","2714.01137923021","2690.73876215617","2679.7873860311","2662.33025390381","2650.48596315702","2657.67298101952","2682.03663792349","2673.01308258126","2495.49512456671","2696.19163882678","2864.04862737733","3038.8448270952","3225.18885921985","3395.0889323301","3564.59584591917","3733.047670155",
"Cameroon","CMR","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3003.85881744117","2804.27316107814","2638.73304952396","2360.57274152019","2343.86101652631","2359.38629061828","2396.92524250481","2456.61624280832","2501.08261023004","2541.31857709007","2563.53987243004","2605.81738626822","2645.04552365009","2692.87754764421","2799.0993966054","2779.31604963596","2798.05947126378","2855.83535682166","2875.27878883481","2858.72276061675","2876.42910520644","2914.2376674035","2964.55353983975","3040.97115233589","3134.08070428593","3223.5827301615","3284.86382356597","3312.89967728942","3352.05501301951",
"Congo, Dem. Rep.","COD","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1386.93324163904","1224.28922162479","1053.89577801367","877.129534234228","812.826913396141","792.465521320564","762.692294539904","702.278039863827","675.116881692552","631.23387406596","572.81264458686","545.466047171768","545.295848073893","558.315350459509","577.483297246379","593.703717257799","605.488092465724","622.743608963059","640.079809997034","636.875743152411","659.795884207033","682.007331979067","706.367202606293","741.17388815136","784.872655916521","811.892718057311","804.522977816384","807.752905129755","827.138253236364",
"Congo, Rep.","COG","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5323.02270723099","5302.99139221077","5293.66806008931","5098.63088215753","4685.89780638059","4737.32599936461","4801.76444757899","4636.17906962458","4671.98983033255","4421.3506774479","4620.9894788906","4661.77363334534","4739.20848260509","4642.37338389821","4662.07786656487","4867.92265817337","5002.51681004748","4757.0003156563","4852.60241152515","5046.58352700935","5323.42872751902","5353.80429630661","5415.11371719297","5465.0384451386","5694.86242077095","5702.1829761714","5403.53600845664","5103.14282137646","5024.08268595301",
"Colombia","COL","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7729.00182436699","7730.56364867011","7888.05346157035","8154.44608601786","8467.48336684357","8745.97388943702","8768.10582453562","8913.23821338556","8814.36609909555","8306.28933707","8413.2218436793","8421.36245388365","8501.42568638423","8704.94467810473","9040.15406981243","9338.73044551389","9844.15453620046","10389.2962796667","10602.2454204915","10611.3385223243","10956.9458516118","11650.1994926942","11996.2165178573","12430.6471458766","12887.5992823361","13114.5736261796","13207.4682670432","13186.2068323642","13332.873872033",
"Comoros","COM","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2580.50055464827","2370.5516818711","2498.64974008635","2500.28424220294","2301.73235728978","2319.02778469298","2227.08046349489","2255.32718638077","2224.71977501759","2209.80740258133","2388.51199501145","2384.73809454244","2381.94535434283","2374.79437281658","2363.57573377472","2373.42081480282","2378.69295703641","2340.94004009642","2376.75648180604","2394.43982017218","2426.18249620984","2465.32491834502","2483.40992411992","2533.44379757944","2525.72610934726","2494.27415988142","2490.64862316343","2500.56944336091","2513.66524305135",
"Cabo Verde","CPV","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1676.19028831897","1659.07794720804","1791.25321694974","1892.47092844877","2193.45386179151","2441.12393322081","2654.5474450433","2886.02174474452","3182.29070892905","3472.60473563799","3896.96062789052","3915.15868013561","4053.36763031147","4157.1480246928","4513.96743524271","4759.13261124538","5071.85682463518","5768.86952013302","6078.54680585444","5929.44377473058","5943.35034723677","6102.41216353509","6090.55379800137","6061.31205669713","6021.6283629113","6007.2182902507","6214.08023407487","6387.09570633917","6661.98616585498",
